[2025-11-10 16:29:55] [INFO] 🔍 Scan sécurisé des modèles dans: F:/llm/llama/models
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: cerebras_Qwen3_Coder_REAP_25B_A3B_Q3_K_S (10.23 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: cerebras_Qwen3_Coder_REAP_25B_A3B_Q4_K_S (13.66 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Chroma1_HD_Flash_Q4_K_S (4.69 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: mmproj_F32 (2.52 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: DeepSeek_R1_0528_Qwen3_8B_Q4_K_M (4.68 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Dorado_WebSurf_Tool_extQ8_0 (3.99 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: gemma_2_9b_Q8_0 (9.15 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: gemma_3_1b_it_Q4_K_M (0.75 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: gpt_oss_20b_MXFP4 (11.28 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: model (3.53 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: granite_40_h_1b_Q4_K_S (0.81 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: granite_40_h_1b_Q8_0 (1.45 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: granite_40_h_350m_Q8_0 (0.34 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: model_1 (2.33 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: JanusCoderV_7Bi1_Q4_K_S (4.15 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: LLaDA_MoE_7B_A1B_Base (3.98 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: neutss_air_BF16 (1.4 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: nomic_embed_text_v15_f16 (0.26 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: nomic_embed_text_v15_Q8_0 (0.14 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: nomic_embed_text_v15f16 (0.26 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: model_2 (2.32 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Qwen25_7B_Instruct_Q4_K_M (4.36 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: qwen25_coder_15b_q8_0 (1.53 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Qwen25_Coder_7B_Instruct_abliterated (5.07 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: mmproj_Qwen25_Omni_3B_f16 (2.44 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Qwen25_Omni_3B_Q8_0 (3.37 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: mmproj_F32_1 (2.52 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Qwen25_VL_7B_Instruct_Q4_K_S (4.15 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Qwen3_06B_Q4_K_S (0.36 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Qwen3_06B_Q8_0 (0.6 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Qwen3_17B_Q4_K_S (0.99 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Qwen3_17B_Q8_0 (1.71 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Qwen3_14B_Q4_K_S (7.98 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Qwen3_4B_Thinking_2507_Q4_K_S (2.22 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Qwen3_Coder_30B_A3B_Instruct_Q4_K_S (16.26 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: mmproj_F32_2 (1.52 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Qwen3_VL_2B_Thinking_1M_Q4_K_S (0.99 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: mmproj_F32_3 (2.15 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Qwen3_VL_8B_Thinking_Q4_K_S (4.47 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Qwen3_VL_8B_Thinking (4.29 GB)
[2025-11-10 16:29:56] [SUCCESS] ✅ Modèle valide ajouté: Seed_Coder_8B_Reasoning_UD_Q5_K_XL (5.48 GB)
[2025-11-10 16:29:56] [INFO] 📊 Total modèles valides: 41
